,Cities,Latitude,Temperature,Humidity,Clouds,Wind
0,taolanaro,45.36,73.38,78,40,17.22
1,saint-philippe,-53.16,41.97,60,0,9.17
2,punta arenas,-22.97,76.06,88,40,2.71
3,arraial do cabo,39.95,68,56,1,13.87
4,grand river south east,24.09,83.99,33,0,11.88
5,kodiak,-54.81,33.8,80,75,11.41
6,aswan,15.34,70.49,97,92,4.72
7,ushuaia,42.65,67.24,70,75,16.11
8,vaini,-23.12,68.6,100,92,2.37
9,albany,68.75,37.1,95,92,2.93
10,rikitea,63.75,32,100,75,3.36
11,cherskiy,-29.95,59,77,75,12.75
12,louisbourg,10.24,80.6,88,20,6.93
13,iqaluit,-23.58,59.15,62,0,11.77
14,coquimbo,68.22,43.57,60,75,8.05
15,esperance,30.15,59.33,70,0,3.04
16,bluff,6.8,86,74,20,13.87
17,amderma,-51.62,42.8,48,40,6.93
18,aklavik,-46.19,46.19,93,12,4.83
19,duki,5.28,75.2,100,75,3.04
20,georgetown,10.57,78.32,100,68,16.24
21,rio gallegos,-33.59,61.4,99,0,12.66
22,mataura,10.53,76.08,83,40,2.48
23,victoria,69.7,43.22,100,24,4.16
24,kavaratti,3.07,85.07,100,12,7.74
25,port alfred,-33.02,64.46,100,0,5.39
26,chavakkad,36.96,92.7,18,1,5.82
27,pevek,-33.93,53.6,76,75,5.82
28,butaritari,12.49,85.07,89,20,8.41
29,east london,11,74.27,97,80,2.59
30,madera,-3.44,74.36,100,92,7.4
31,cape town,-34.42,37.91,93,0,1.14
32,oussouye,55.34,60.06,57,1,16.11
33,dingle,47.38,57.2,62,90,13.87
34,mayumba,37.4,71.75,100,76,12.44
35,mys shmidta,-25.41,68.87,67,0,3.27
36,hermanus,-33.21,38.27,78,0,3.27
37,ketchikan,-30.97,40.07,22,0,7.74
38,barentsburg,22.08,82.26,90,75,10.29
39,cap-aux-meules,21.44,84.02,84,40,10.29
40,wajima,-9.01,76.25,81,68,8.75
41,taltal,60.14,36.74,99,88,8.19
42,jamestown,52.43,62.6,82,0,6.71
43,carnarvon,37.14,73.4,69,0,4.7
44,kapaa,-42.48,50.96,94,92,9.42
45,ahuimanu,-30.17,71.75,83,8,5.73
46,maragogi,-23.53,58.88,68,0,10.76
47,nanortalik,64.84,48.58,93,90,5.61
48,zlynka,-0.39,60.8,55,75,23.04
49,lagoa,-20.63,67.07,98,12,1.92
50,castro,-4.97,72.47,92,20,1.7
51,cidreira,19.71,82.94,65,75,4.7
52,emerald,58.52,42.8,30,5,3.36
53,fairbanks,41.54,59.6,81,48,2.59
54,mancio lima,-35.17,54.74,100,88,12.77
55,san cristobal,43.52,64.4,100,75,3.36
56,ponta do sol,-23.87,71.84,100,80,8.08
57,lusambo,-38.31,71.3,27,0,14.67
58,hilo,-42.78,50,53,75,8.05
59,high level,39.45,60.8,72,0,2.59
60,kos,-26.65,57.17,75,0,23.62
61,ahipara,62.16,34.22,80,0,5.39
62,naron,71.98,41.33,94,92,15.79
63,inhambane,25.87,93.02,58,20,16.11
64,barrow,-9.8,76.07,100,92,5.28
65,new norfolk,4.94,86,66,0,10.29
66,saint george,-33.64,52.76,100,44,9.64
67,luderitz,20.35,83.99,96,36,7.96
68,suntar,-9.08,92.99,25,0,8.3
69,khatanga,-34,59.78,92,0,19.48
70,matamoros,-46.28,47,84,8,5.5
71,atuona,69.22,28.4,50,0,2.24
72,hvammstangi,5.77,55.82,100,92,2.59
73,cayenne,20.89,83.59,59,20,16.11
74,busselton,62.78,59,93,0,11.41
75,illoqqortoormiut,51.3,38.54,100,92,9.75
76,baracoa,38,79.07,51,1,11.41
77,bom jesus,2.67,81.2,100,68,7.07
78,kruisfontein,47.65,62.39,62,20,12.33
79,kaitangata,73.51,39.62,96,92,10.09
80,ilulissat,11.28,80.6,88,20,6.93
81,shakiso,39.31,75.02,76,75,3.36
82,kahului,17.54,75.2,100,20,2.24
83,sola,20.71,89.6,66,40,13.87
84,vershino-shakhtaminskiy,-42.88,50,53,75,8.05
85,pinole,39.52,72.74,13,0,3.15
86,kudahuvadhoo,62.45,35.6,51,40,8.05
87,makat,-8.75,89.75,54,12,2.15
88,dikson,69.49,42.86,92,80,7.85
89,bubaque,14.9,79.49,93,0,14.34
90,port elizabeth,67.46,34.22,97,92,3.49
91,san quintin,63.29,36.56,75,8,6.51
92,ixtapa,41.28,66.43,68,1,17.22
93,hobart,39.5,59,62,0,4.7
94,moroni,-33.69,73.55,78,20,7.74
95,yellowknife,-27.29,53.39,88,0,2.26
96,sentyabrskiy,-19.06,78.8,74,75,11.41
97,porto velho,-8.28,96.59,36,12,3.71
98,bolshaya murta,-21.21,77,61,20,16.11
99,talnakh,-45.41,41.78,92,12,3.6
100,sao filipe,38.52,75.2,88,40,14.99
